"PENSIONES EN VIGOR A 1 DE MAYO DE 2023 
según régimen de Seguridad Social
por clase de pensión",,,,,,,,,,,,
Régimen ,CLASE DE PENSIÓN,,,,,,,,,,,
,Total,,Incapacidad permanente,,Jubilación,,Viudedad,,Orfandad,,Favor de familiares,
,Número,P.Media,Número,P.Media,Número,P.Media,Número,P.Media,Número,P.Media,Número,P.Media
Total sistema,10019689,1195.08,945050,1119.93,6343015,1375.23,2346534,851.71,340218,478.63,44872,700.81
General,7402452,1307.65,723538,1141.25,4644887,1533.57,1742421,906.52,259188,492.37,32418,729.63
Trabajadores autónomos,1978724,822.34,112729,851.50,1327309,915.45,465866,613.92,62942,393.78,9878,539.31
Trabajadores del mar,117939,1222.87,6562,1134.96,65102,1523.91,40212,841.56,4807,580.82,1256,744.31
Minería del carbón,59427,2100.97,1902,1854.60,34849,2682.36,20140,1264.02,1884,870.15,652,1154.76
Accidentes de trabajo,201941,1224.99,85200,1286.88,55094,1444.73,50817,1034.28,10358,489.95,472,1065.28
Enfermedades profesionales,32652,1467.60,11619,1239.68,10460,1866.22,9338,1369.40,1039,897.50,196,1406.33
SOVI,226554,454.47,3500,468.46,205314,452.74,17740,471.79,-,-,-,-
Fuente: Seguridad Social. Pensiones en vigor a 1 de mayo de 2023. Consulta en junio de 2023.,,,,,,,,,,,,
https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST23/EST24,,,,,,,,,,,,
